DATETIME,ACCURACY,CMODE,HEIGHT,HUMIDITY,IRTEMPERATURE,LIGHT,MAXACC,MAXGYR,MEANGYR,MEANMAG,MODE,NOISE,PRESSURE,STDACC,STDGYR,STDMAG,STEPS,TEMPERATURE,TIMESTAMP,WLATITUDE,WLONGITUDE
2018-11-27 08:05:00+08:00,-2,-1,37.76,81,18.81,0,22183,837,253,732,1,61,100847,1262,207,5,72812,26.99,1543277101,92,182
2018-11-27 08:05:15+08:00,-2,-1,38.24,81,19.25,0,32767,13579,4361,758,3,45,100841,4634,2299,88,72840,27,1543277116,92,182
2018-11-27 08:05:30+08:00,-2,-1,38.87,81,19.53,0,17651,1293,417,695,3,46,100833,569,257,8,72840,27.04,1543277134,92,182
2018-11-27 08:05:45+08:00,-2,-1,38.47,81,19.42,0,17008,696,385,705,6,51,100838,345,152,6,72840,27.05,1543277150,92,182
2018-11-27 08:06:00+08:00,-2,-1,38.32,81,19.81,0,22472,1368,367,482,6,68,100840,1925,274,22,72840,27.09,1543277165,92,182
2018-11-27 08:06:15+08:00,-2,-1,38.55,81,19.42,0,26249,8851,3097,625,3,53,100837,3537,1566,46,72848,27.11,1543277182,92,182
2018-11-27 08:06:30+08:00,-2,-1,38.55,79.5,18.92,0,21953,2550,869,968,3,50,100837,2430,488,10,72849,27.14,1543277198,92,182
2018-11-27 08:06:45+08:00,-2,-1,38.39,79,19.48,10,32767,9498,2353,800,3,64,100839,4634,1862,39,72849,27.15,1543277216,92,182
2018-11-27 08:07:00+08:00,-2,-1,38.55,80,19.31,10,16599,46,34,974,3,59,100837,88,5,5,72849,27.19,1543277232,92,182
2018-11-27 08:07:15+08:00,-2,-1,35.62,80,19.81,0,15418,52,29,649,6,52,100874,108,9,65,72849,27.19,1543277248,92,182
2018-11-27 08:07:30+08:00,,,,,,,,,,,,,,,,,,,,,
2018-11-27 08:07:45+08:00,-2,-1,10.1,80.5,19.59,10,25855,4725,1927,725,6,69,101197,3758,1025,67,72849,27.21,1543277266,92,182
2018-11-27 08:08:00+08:00,-2,-1,10.1,80.5,19.48,60,32767,4819,1962,796,3,57,101197,4634,1032,26,72849,27.27,1543277282,92,182
2018-11-27 08:08:15+08:00,-2,-1,9.07,80,18.98,10,26220,7352,2296,840,3,56,101210,3678,1754,13,72857,27.26,1543277297,92,182
2018-11-27 08:08:30+08:00,-2,-1,8.6,80,18.64,10,17195,510,233,702,3,56,101216,405,113,7,72857,27.28,1543277314,92,182
2018-11-27 08:08:45+08:00,-2,-1,8.44,80,15.42,0,32767,20314,8338,803,3,64,101218,4634,4634,102,72864,27.29,1543277330,92,182
2018-11-27 08:09:00+08:00,-2,-1,9.07,65,14.97,0,25107,326,237,638,3,83,101210,3642,34,14,72867,27.21,1543277348,92,182
2018-11-27 08:09:15+08:00,-2,-1,10.97,61.5,14.19,100,18920,260,121,382,3,54,101186,589,30,5,72867,27.13,1543277364,92,182
2018-11-27 08:09:30+08:00,-2,-1,11.99,60,13.47,60,18723,317,213,777,6,55,101173,856,35,5,72867,27.04,1543277379,92,182
2018-11-27 08:09:45+08:00,-2,-1,12.78,59.5,12.42,160,20223,784,166,686,6,71,101163,1574,137,44,72867,26.93,1543277396,92,182
2018-11-27 08:10:00+08:00,-2,-1,9.55,58.5,12.25,60,20742,459,166,671,6,62,101204,1317,72,19,72867,26.84,1543277412,92,182
2018-11-27 08:10:15+08:00,,,,,,,,,,,,,,,,,,,,,
2018-11-27 08:10:30+08:00,-2,-1,3.71,57,11.53,100,19440,190,120,727,6,58,101278,1071,23,14,72867,26.68,1543277430,92,182
2018-11-27 08:10:45+08:00,-2,-1,3.86,57,10.86,130,19571,208,79,766,6,68,101276,896,42,6,72867,26.62,1543277446,92,182
2018-11-27 08:11:00+08:00,-2,-1,4.65,55.5,9.8,130,18674,176,60,764,6,68,101266,638,28,5,72867,26.47,1543277462,92,182
2018-11-27 08:11:15+08:00,-2,-1,6.94,54.5,9.13,130,18904,150,76,753,6,68,101237,838,32,5,72867,26.34,1543277480,92,182
2018-11-27 08:11:30+08:00,-2,-1,7.1,54,8.24,130,18610,168,80,757,6,68,101235,756,33,4,72867,26.23,1543277496,92,182
2018-11-27 08:11:45+08:00,-2,-1,9.39,53.5,8.02,120,21126,443,115,746,6,66,101206,1287,78,9,72867,26.11,1543277511,92,182
2018-11-27 08:12:00+08:00,-2,-1,13.65,53,7.91,120,19592,246,72,760,6,66,101152,819,40,5,72867,25.96,1543277527,92,182
2018-11-27 08:12:15+08:00,-2,-1,14.91,52.5,7.63,120,20912,379,131,759,6,65,101136,1347,73,8,72867,25.84,1543277543,92,182
2018-11-27 08:12:30+08:00,-2,-1,17.36,52.5,8.08,70,19871,249,78,702,6,65,101105,937,47,5,72867,25.7,1543277561,92,182
2018-11-27 08:12:45+08:00,-2,-1,20.92,52,7.36,120,19288,215,82,712,6,68,101060,785,43,7,72867,25.58,1543277577,92,182
2018-11-27 08:13:00+08:00,-2,-1,21.31,52,7.19,110,22163,373,135,716,6,67,101055,1506,82,13,72867,25.48,1543277593,92,182
2018-11-27 08:13:15+08:00,-2,-1,22.73,51.5,6.91,120,19143,251,93,758,6,68,101037,914,47,6,72867,25.35,1543277609,92,182
2018-11-27 08:13:30+08:00,,,,,,,,,,,,,,,,,,,,,
2018-11-27 08:13:45+08:00,-2,-1,15.39,51.5,7.86,110,19796,349,300,826,6,63,101130,714,16,5,72867,25.22,1543277625,92,182
2018-11-27 08:14:00+08:00,-2,-1,17.28,51.5,8.13,180,18943,231,81,618,6,60,101106,801,37,6,72867,25.12,1543277640,92,182
2018-11-27 08:14:15+08:00,-2,-1,18.07,51.5,8.08,130,18651,140,52,839,6,58,101096,436,24,4,72867,25,1543277657,92,182
2018-11-27 08:14:30+08:00,-2,-1,17.6,52,7.47,130,18948,147,53,826,6,60,101102,557,27,11,72867,24.93,1543277673,92,182
2018-11-27 08:14:45+08:00,-2,-1,16.41,51.5,7.02,120,18332,144,58,734,6,58,101117,508,28,7,72867,24.82,1543277691,92,182
2018-11-27 08:15:00+08:00,-2,-1,15.07,51.5,7.8,120,18609,285,107,719,6,62,101134,697,60,6,72867,24.7,1543277707,92,182
2018-11-27 08:15:15+08:00,-2,-1,12.94,51.5,8.02,130,19263,291,114,836,6,70,101161,850,66,5,72867,24.6,1543277723,92,182
2018-11-27 08:15:30+08:00,-2,-1,20.52,51.5,7.58,120,21099,561,158,816,6,64,101065,1272,94,43,72867,24.5,1543277739,92,182
2018-11-27 08:15:45+08:00,-2,-1,19.18,51,7.52,120,18227,113,53,835,6,53,101082,486,21,5,72867,24.42,1543277755,92,182
2018-11-27 08:16:00+08:00,-2,-1,19.1,51,6.74,130,18167,117,72,834,6,50,101083,583,28,4,72867,24.28,1543277773,92,182
2018-11-27 08:16:15+08:00,-2,-1,21.47,51,7.47,130,19362,260,111,823,6,64,101053,826,50,49,72867,24.23,1543277789,92,182
2018-11-27 08:16:30+08:00,,,,,,,,,,,,,,,,,,,,,
2018-11-27 08:16:45+08:00,-2,-1,15.39,51,7.47,80,18520,185,58,805,6,57,101130,559,32,5,72867,24.11,1543277805,92,182
2018-11-27 08:17:00+08:00,-2,-1,8.83,51,7.52,60,20299,537,150,826,6,65,101213,1221,92,5,72867,24.02,1543277823,92,182
2018-11-27 08:17:15+08:00,-2,-1,2.21,51,7.36,130,21370,448,168,677,6,67,101297,1421,85,89,72867,23.91,1543277839,92,182
2018-11-27 08:17:30+08:00,-2,-1,8.99,51,7.52,130,24630,636,230,808,6,65,101211,1918,134,37,72867,23.86,1543277854,92,182
2018-11-27 08:17:45+08:00,-2,-1,12.54,50.5,7.91,110,19192,354,123,782,6,64,101166,721,69,10,72867,23.77,1543277871,92,182
2018-11-27 08:18:00+08:00,-2,-1,23.45,50.5,7.74,10,20173,679,170,826,6,67,101028,1436,109,13,72867,23.67,1543277887,92,182
2018-11-27 08:18:15+08:00,-2,-1,13.81,50.5,7.97,140,22047,425,143,806,6,65,101150,1649,90,59,72867,23.59,1543277905,92,182
2018-11-27 08:18:30+08:00,-2,-1,13.57,50.5,7.13,140,20099,463,164,839,6,63,101153,1148,87,27,72867,23.49,1543277921,92,182
2018-11-27 08:18:45+08:00,-2,-1,13.89,50.5,7.02,130,21679,1035,301,826,6,65,101149,1367,214,12,72867,23.39,1543277937,92,182
2018-11-27 08:19:00+08:00,-2,-1,8.05,50.5,7.52,130,20714,623,198,829,6,56,101223,1317,117,10,72867,23.36,1543277953,92,182
2018-11-27 08:19:15+08:00,-2,-1,7.81,50.5,7.58,110,19807,388,147,857,6,67,101226,822,93,7,72867,23.27,1543277969,92,182
2018-11-27 08:19:30+08:00,,,,,,,,,,,,,,,,,,,,,
2018-11-27 08:19:45+08:00,-2,-1,10.97,50.5,6.85,140,19080,457,178,847,6,64,101186,833,87,9,72867,23.2,1543277987,92,182
2018-11-27 08:20:00+08:00,-2,-1,5.36,50.5,6.91,120,18955,411,127,842,6,63,101257,893,64,11,72867,23.1,1543278003,92,182
2018-11-27 08:20:15+08:00,-2,-1,15.23,51,7.58,140,19049,256,96,755,6,64,101132,890,48,61,72867,23.05,1543278019,92,182
2018-11-27 08:20:30+08:00,-2,-1,10.41,51,7.02,130,20708,683,188,768,6,64,101193,1305,141,94,72867,22.97,1543278037,92,182
2018-11-27 08:20:45+08:00,-2,-1,8.2,51,6.8,90,20324,390,129,815,6,62,101221,868,67,7,72867,22.88,1543278053,92,182
2018-11-27 08:21:00+08:00,-2,-1,9.23,50.5,6.69,100,19947,442,118,832,6,69,101208,900,71,6,72867,22.8,1543278068,92,182
2018-11-27 08:21:15+08:00,-2,-1,17.99,51,6.13,140,22353,487,139,814,6,66,101097,1767,80,183,72867,22.75,1543278085,92,182
2018-11-27 08:21:30+08:00,-2,-1,24.47,51,6.91,120,18708,408,137,841,6,62,101015,763,82,9,72867,22.68,1543278101,92,182
2018-11-27 08:21:45+08:00,-2,-1,27.4,51,6.91,130,21804,1257,308,837,6,66,100978,2269,250,7,72867,22.61,1543278119,92,182
2018-11-27 08:22:00+08:00,,,,,,,,,,,,,,,,,,,,,
2018-11-27 08:22:15+08:00,-2,-1,25.82,50.5,7.19,150,21481,785,226,834,6,68,100998,1642,149,4,72867,22.54,1543278135,92,182
2018-11-27 08:22:30+08:00,-2,-1,31.75,50.5,7.24,180,20545,536,236,812,6,68,100923,1164,122,13,72867,22.49,1543278150,92,182
2018-11-27 08:22:45+08:00,-2,-1,23.84,50.5,6.91,160,19381,437,174,827,6,69,101023,890,98,5,72867,22.43,1543278167,92,182
